Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1589,27.09254837,1589,2.746861935,1589,1.36743927,1589,3.29105258,1589,2.408390045,
1586,26.98179245,1586,2.796819687,1586,1.377964735,1586,3.272663832,1586,2.363315344,
1583,27.16919708,1583,2.812405586,1583,1.437422276,1583,3.166514158,1583,2.276175976,
1580,27.19451523,1580,2.869917393,1580,1.427837253,1580,3.089834452,1580,2.241040707,
1577,27.38879967,1577,2.834876776,1577,1.404194474,1577,2.947226048,1577,2.168272734,
1574,27.28079605,1574,2.825617313,1574,1.33780098,1574,2.879557848,1574,2.117327929,
1571,27.37365723,1571,2.808288574,1571,1.282507777,1571,2.774802923,1571,2.06470561,
1568,27.12539482,1568,2.821058989,1568,1.282578945,1568,2.703785181,1568,2.026950836,
1565,27.20312691,1565,2.819667101,1565,1.242076159,1565,2.698123932,1565,1.955744863,
1562,27.19319153,1562,2.77478981,1562,1.281326056,1562,2.591657162,1562,1.919735432,
1559,27.37007523,1559,2.753174782,1559,1.256116629,1559,2.513735294,1559,1.867931008,
1556,27.46411514,1556,2.694964886,1556,1.25323534,1556,2.385130882,1556,1.833921075,
1553,27.41812134,1553,2.692222118,1553,1.237152457,1553,2.306602001,1553,1.806369662,
1550,27.48394585,1550,2.720002413,1550,1.215629816,1550,2.196314812,1550,1.774343133,
1547,27.24104309,1547,2.780161142,1547,1.218313575,1547,2.150044441,1547,1.726097226,
1544,27.31123543,1544,2.834643126,1544,1.205070138,1544,2.072695494,1544,1.698732615,
1541,27.28501511,1541,2.864280224,1541,1.225536823,1541,1.995290399,1541,1.62974298,
1538,27.4679451,1538,2.868985653,1538,1.188662052,1538,1.911545038,1538,1.579607606,
1535,27.53486252,1535,2.84513402,1535,1.156901121,1535,1.785889506,1535,1.532156944,
1532,27.5336113,1532,2.80751729,1532,1.105469108,1532,1.69490087,1532,1.480957031,
1529,27.57331467,1529,2.772796392,1529,1.080747724,1529,1.615918636,1529,1.416320324,
1526,27.34763336,1526,2.755368948,1526,1.082625031,1526,1.535049796,1526,1.350894332,
1523,27.38673973,1523,2.780312061,1523,1.072957754,1523,1.492895126,1523,1.302072883,
1520,27.36999893,1520,2.783123255,1520,1.095001459,1520,1.426461339,1520,1.236139417,
1517,27.55326843,1517,2.780400515,1517,1.084718466,1517,1.34656024,1517,1.193267822,
1514,27.62063789,1514,2.762919188,1514,1.079328418,1514,1.269254923,1514,1.166573405,
1511,27.62301254,1511,2.759847879,1511,1.073008418,1511,1.199658155,1511,1.114477515,
1508,27.62792206,1508,2.79458189,1508,1.054842591,1508,1.135990381,1508,1.07382369,
1505,27.47467232,1505,2.839624405,1505,1.015576839,1505,1.07101047,1505,1.043557525,
1502,27.43582726,1502,2.894362926,1502,0.9982948303,1502,1.033794284,1502,1.018543363,
1499,27.44271851,1499,2.888813257,1499,0.9892699122,1499,0.9856467247,1499,0.9769355655,
1496,27.60356903,1496,2.86585927,1496,0.9875445366,1496,0.9174520373,1496,0.9374996424,
1493,27.64925003,1493,2.813596725,1493,0.9991761446,1493,0.8651948571,1493,0.9178901315,
1490,27.72402763,1490,2.737918615,1490,0.9953616858,1490,0.8031290174,1490,0.8830088377,
1487,27.6422081,1487,2.722569227,1487,0.9887517691,1487,0.7625354528,1487,0.8517953753,
1484,27.52298927,1484,2.722108126,1484,0.9798478484,1484,0.7224844098,1484,0.815662384,
1481,27.47093201,1481,2.766012907,1481,0.9726207852,1481,0.6940317154,1481,0.7816411257,
1478,27.43847084,1478,2.788751841,1478,0.9738794565,1478,0.6582307816,1478,0.7485492826,
1475,27.63123131,1475,2.798761129,1475,0.9496943951,1475,0.613506794,1475,0.7219264507,
1472,27.6487236,1472,2.818926573,1472,0.9287992716,1472,0.5789173841,1472,0.6897385716,
1469,27.73863411,1469,2.800798893,1469,0.9255532026,1469,0.5413030386,1469,0.6666375995,
1466,27.70669556,1466,2.790802479,1466,0.9318498969,1466,0.5057659745,1466,0.6418309808,
1463,27.51633835,1463,2.789820433,1463,0.9430614114,1463,0.4845644236,1463,0.6131284237,
1460,27.51792717,1460,2.82239604,1460,0.9428929687,1460,0.4694973528,1460,0.5906131268,
1457,27.46082306,1457,2.808549881,1457,0.9388449788,1457,0.4578531384,1457,0.56308496,
1454,27.53598404,1454,2.769325018,1454,0.9389385581,1454,0.4346113205,1454,0.5478700995,
1451,27.70801735,1451,2.72708869,1451,0.9327320457,1451,0.4204789996,1451,0.5303021073,
1448,27.62992477,1448,2.708501339,1448,0.925955534,1448,0.3981351256,1448,0.5074322224,
1445,27.64123917,1445,2.717966318,1445,0.9154348373,1445,0.3705099225,1445,0.4919980764,
1442,27.55460167,1442,2.745591402,1442,0.9166969061,1442,0.3597746193,1442,0.4808855355,
1439,27.37117958,1439,2.821891069,1439,0.9234403968,1439,0.3560315967,1439,0.4690366387,
1436,27.42776871,1436,2.847432852,1436,0.9289542437,1436,0.3477957547,1436,0.456477344,
1433,27.4967556,1433,2.848590612,1433,0.9346956611,1433,0.3409673274,1433,0.4382169843,
1430,27.52107048,1430,2.815988541,1430,0.9415974617,1430,0.3249917328,1430,0.4310447276,
1427,27.58275604,1427,2.748317242,1427,0.9389138818,1427,0.2989963293,1427,0.4163185656,
1424,27.50687218,1424,2.731891155,1424,0.9240170121,1424,0.30894503,1424,0.4161458015,
1421,27.34699631,1421,2.716472626,1421,0.9250230193,1421,0.2921652496,1421,0.3914323747,
1418,27.23078346,1418,2.738623142,1418,0.9166958928,1418,0.2948789299,1418,0.3915815651,
