MnPS3,,Hole,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1328,27.44061279,1328,250.8746338,1328,7.942726612,1328,3.24647975,1328,3.317608595,
1325,27.44053268,1325,252.1610718,1325,8.015516281,1325,3.165806055,1325,3.21284914,
1322,27.56329155,1322,253.280014,1322,8.013975143,1322,3.152006388,1322,3.159447432,
1319,27.8741684,1319,254.6812134,1319,7.996107578,1319,3.153384209,1319,3.148829937,
1316,28.11755753,1316,256.369812,1316,8.068099976,1316,3.100231171,1316,3.045327425,
1313,28.23732567,1313,257.4918213,1313,8.022518158,1313,3.012973785,1313,3.070643425,
1310,28.30171013,1310,256.7307434,1310,7.976320267,1310,3.016852617,1310,3.024174452,
1307,28.10083961,1307,254.9307556,1307,7.859166145,1307,2.936453104,1307,2.901884556,
1304,27.86001778,1304,253.5260162,1304,7.915964603,1304,2.932049036,1304,2.890733957,
1301,27.71715736,1301,253.4151001,1301,7.846850395,1301,2.860946655,1301,2.869861364,
1298,27.63109207,1298,253.3114471,1298,7.852899075,1298,2.843414068,1298,2.808530331,
1295,27.71357536,1295,253.3267517,1295,7.837596416,1295,2.837732792,1295,2.759941101,
1292,27.79393768,1292,253.5483551,1292,7.806016445,1292,2.77229166,1292,2.761716843,
1289,28.0912838,1289,254.2606354,1289,7.882760525,1289,2.744978189,1289,2.745158434,
1286,28.23527145,1286,254.8471222,1286,7.918544292,1286,2.720057487,1286,2.720351696,
1283,28.26864433,1283,255.2083282,1283,7.92201519,1283,2.726612568,1283,2.684408426,
1280,28.28108025,1280,255.5444489,1280,7.998894215,1280,2.698939562,1280,2.669022799,
1277,28.18344307,1277,255.7319946,1277,8.004515648,1277,2.755027056,1277,2.656142712,
1274,28.04360962,1274,256.3442383,1274,8.026370049,1274,2.765598536,1274,2.637724876,
1271,27.95189667,1271,256.7990417,1271,8.015877724,1271,2.685198307,1271,2.694127083,
1268,27.97522926,1268,257.2888184,1268,8.007395744,1268,2.616019726,1268,2.618104935,
1265,28.11222076,1265,257.3220825,1265,8.030549049,1265,2.657615185,1265,2.618477106,
1262,28.29156303,1262,257.4645386,1262,7.936434269,1262,2.647095442,1262,2.593948603,
1259,28.35728264,1259,257.8204041,1259,7.897387981,1259,2.640995026,1259,2.534833431,
1256,28.24225426,1256,258.1541443,1256,7.776018143,1256,2.643036604,1256,2.492894888,
1253,28.23949814,1253,258.7690735,1253,7.757638454,1253,2.631918907,1253,2.566697359,
1250,28.02100754,1250,258.9208069,1250,7.670012951,1250,2.586268187,1250,2.532712698,
