Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1493,200.7032928,1493,21.60564995,1493,16.62117195,1493,41.10377121,1493,20.96790123,
1490,200.2693481,1490,21.48324776,1490,16.15621948,1490,39.77884293,1490,20.66680527,
1487,200.8031311,1487,21.18431473,1487,15.57429314,1487,38.50031662,1487,20.36416245,
1484,201.5430756,1484,21.14115906,1484,15.51227379,1484,37.24864197,1484,19.98884583,
1481,202.3816376,1481,21.08289528,1481,15.08515739,1481,36.22516632,1481,19.43716812,
1478,203.4733734,1478,21.07372284,1478,15.17318821,1478,34.99869919,1478,18.83582306,
1475,203.4883423,1475,21.12999916,1475,14.67835617,1475,33.96886826,1475,18.01647186,
1472,203.6164551,1472,21.36129951,1472,14.26742363,1472,32.61931229,1472,17.46686554,
1469,203.5807343,1469,21.7339344,1469,13.56896782,1469,31.21957397,1469,16.75497055,
1466,203.5048676,1466,21.91724396,1466,12.87563038,1466,29.83665848,1466,16.21754074,
1463,204.4348755,1463,21.86438751,1463,12.49455357,1463,28.58877563,1463,15.5303936,
1460,205.3006134,1460,21.84061623,1460,12.23103905,1460,27.41347504,1460,14.87877083,
1457,206.0093231,1457,21.81632423,1457,12.16364574,1457,26.26536751,1457,14.3069582,
1454,207.0135193,1454,21.61065292,1454,11.77463531,1454,25.22497177,1454,13.82343578,
1451,206.7979279,1451,21.40363312,1451,11.48509789,1451,23.88917351,1451,13.35187531,
1448,206.8517151,1448,21.40905762,1448,11.01658535,1448,22.75834084,1448,12.78753567,
1445,207.3664856,1445,21.53125191,1445,10.79291821,1445,21.30705833,1445,12.38641262,
1442,206.7342987,1442,21.72012901,1442,10.43073654,1442,20.19357491,1442,11.94221973,
1439,208.0556183,1439,21.80397606,1439,10.09357452,1439,18.99147987,1439,11.57213497,
1436,208.8960114,1436,21.95003128,1436,9.893558502,1436,17.77064896,1436,11.1482687,
1433,208.8156738,1433,22.21434402,1433,9.622365952,1433,16.73101616,1433,10.70383835,
1430,209.7714386,1430,22.31865883,1430,9.627397537,1430,15.50824642,1430,10.24019527,
1427,209.5216064,1427,22.32388496,1427,9.459053993,1427,14.42226219,1427,9.718484879,
1424,208.8706512,1424,22.28210258,1424,9.271493912,1424,13.11255646,1424,9.372079849,
1421,210.6348724,1421,22.14882278,1421,9.180862427,1421,12.19859886,1421,8.827793121,
1418,212.1182251,1418,22.1214962,1418,9.094575882,1418,11.26806068,1418,8.459313393,
1415,211.7808533,1415,21.93836784,1415,8.88552475,1415,10.4477272,1415,7.991134167,
1412,213.1383972,1412,22.03718948,1412,8.776705742,1412,9.718546867,1412,7.583135605,
1409,213.3986053,1409,22.27127457,1409,8.552458763,1409,8.973154068,1409,7.221974373,
1406,213.1139069,1406,22.5085392,1406,8.599285126,1406,8.352416992,1406,6.873467445,
1403,212.3274384,1403,22.53345108,1403,8.479647636,1403,7.609021664,1403,6.435490608,
1400,211.8368225,1400,22.52325439,1400,8.521811485,1400,7.022777081,1400,6.086024284,
1397,213.2940826,1397,22.5478611,1397,8.40947628,1397,6.518392086,1397,5.940431118,
1394,218.3171997,1394,22.67374611,1394,8.454888344,1394,6.168838024,1394,5.688529015,
1391,215.7668304,1391,22.40620422,1391,8.255862236,1391,5.795416832,1391,5.481313705,
1388,214.5651398,1388,21.99359894,1388,8.201328278,1388,5.339784622,1388,5.190625191,
1385,213.9911194,1385,21.90888596,1385,8.007134438,1385,4.918039322,1385,4.945652008,
1382,217.9220886,1382,22.29410362,1382,8.053665161,1382,4.637422562,1382,4.876751423,
1379,218.3927002,1379,22.50859833,1379,8.070771217,1379,4.409944057,1379,4.659306049,
1376,217.9904175,1376,22.64131927,1376,8.03151226,1376,4.098069191,1376,4.428468704,
1373,216.5061035,1373,22.4406929,1373,7.992787838,1373,3.824996948,1373,4.240615845,
1370,217.1927948,1370,22.53108597,1370,7.891999245,1370,3.745310068,1370,4.052169323,
1367,218.8078003,1367,22.64414597,1367,7.915951252,1367,3.654430151,1367,4.000421047,
1364,216.3313599,1364,22.38932228,1364,7.729424477,1364,3.440197945,1364,3.776117325,
1361,212.8263245,1361,21.78105354,1361,7.599070072,1361,3.354576588,1361,3.571607113,
1358,211.7312164,1358,21.51758575,1358,7.562973976,1358,3.206340551,1358,3.434817791,
1355,211.3732758,1355,21.33048248,1355,7.48071003,1355,3.162735224,1355,3.298134327,
1352,211.5601501,1352,21.21101761,1352,7.490889549,1352,3.056754351,1352,3.232511997,
1349,214.3822479,1349,21.5804882,1349,7.512059212,1349,3.026299953,1349,3.117005587,
1346,215.3534393,1346,21.85599518,1346,7.584431648,1346,2.919791937,1346,3.046995401,
1343,216.8746033,1343,22.2549057,1343,7.619872093,1343,2.891154528,1343,3.036961079,
1340,217.7199097,1340,22.47179604,1340,7.614214897,1340,2.865394354,1340,2.96526885,
1337,218.8690491,1337,22.59508705,1337,7.58865118,1337,2.779339552,1337,2.966107845,
1334,220.5336304,1334,22.52890015,1334,7.614861488,1334,2.724451303,1334,2.923653603,
1331,221.9070129,1331,22.4133873,1331,7.61883831,1331,2.761724234,1331,2.905286074,
1328,222.481781,1328,22.35947418,1328,7.619549274,1328,2.734502554,1328,2.806937695,
1325,223.4759521,1325,22.36983871,1325,7.648606777,1325,2.70599246,1325,2.783891678,
1322,224.6053925,1322,22.6633873,1322,7.692814827,1322,2.734173775,1322,2.806564569,
1319,225.0400238,1319,22.93668938,1319,7.665656567,1319,2.627027512,1319,2.726700306,
1316,225.9909363,1316,23.26871109,1316,7.735921383,1316,2.706661701,1316,2.691425323,
1313,226.4664612,1313,23.26767349,1313,7.731919765,1313,2.681067944,1313,2.675054073,
1310,226.7096558,1310,23.11351967,1310,7.651082993,1310,2.652870178,1310,2.65832448,
1307,225.7700653,1307,22.84887505,1307,7.574342728,1307,2.621518135,1307,2.616219044,
1304,224.7102966,1304,22.56915665,1304,7.580039024,1304,2.577733994,1304,2.582010031,
1301,223.7970123,1301,22.49668312,1301,7.605947495,1301,2.589417934,1301,2.585230589,
1298,223.1634674,1298,22.60089874,1298,7.563148975,1298,2.579878807,1298,2.506840467,
1295,223.7873383,1295,22.58290863,1295,7.589528084,1295,2.5005548,1295,2.494837999,
1292,224.2324829,1292,22.87029839,1292,7.589957714,1292,2.540536642,1292,2.505749702,
1289,225.2429199,1289,22.95046806,1289,7.622066975,1289,2.584846973,1289,2.454154491,
1286,225.449234,1286,22.89254761,1286,7.54165554,1286,2.501132965,1286,2.468980312,
1283,226.1054077,1283,22.84319115,1283,7.580574036,1283,2.536483765,1283,2.417092323,
1280,226.3825684,1280,22.83298492,1280,7.688561916,1280,2.519004345,1280,2.418064356,
1277,225.9598541,1277,22.77952576,1277,7.721384525,1277,2.477932453,1277,2.428624153,
1274,226.1120605,1274,22.7706337,1274,7.76276207,1274,2.380197048,1274,2.38932538,
1271,226.3254852,1271,22.84082413,1271,7.704839706,1271,2.471635103,1271,2.437855244,
1268,227.3573914,1268,22.8880024,1268,7.684565544,1268,2.441127777,1268,2.438273668,
1265,227.8791504,1265,22.99022865,1265,7.653590202,1265,2.517325401,1265,2.358589888,
1262,228.5177307,1262,23.16194344,1262,7.566820621,1262,2.434095383,1262,2.329990387,
1259,228.3482819,1259,23.06241989,1259,7.505224705,1259,2.455518007,1259,2.369864464,
1256,227.9863892,1256,23.15124512,1256,7.545298576,1256,2.45108676,1256,2.440868616,
1253,227.9986572,1253,23.11974907,1253,7.458238125,1253,2.366616011,1253,2.341045856,
1250,228.2491913,1250,23.13172722,1250,7.36167717,1250,2.416750908,1250,2.358401299,
1247,229.3420105,1247,23.13378525,1247,7.375215054,1247,2.440681458,1247,2.320431709,
1244,229.788559,1244,23.13406563,1244,7.262056351,1244,2.434209585,1244,2.344035864,
1241,230.2072754,1241,23.21158409,1241,7.13140583,1241,2.407258272,1241,2.329324007,
1238,230.2272797,1238,23.29781532,1238,7.224547863,1238,2.411313534,1238,2.329046011,
1235,229.7958832,1235,23.35513496,1235,7.148293972,1235,2.371799231,1235,2.253512621,
1232,229.8736115,1232,23.29205894,1232,7.070957184,1232,2.407504082,1232,2.324000359,
