calibration,,calibration,,
Wavelength (nm),%T,Wavelength (nm),%T,
690,82.31552887,690,82.61782074,
689,82.31919861,689,82.58579254,
688,82.29101563,688,82.57248688,
687,82.277771,687,82.54050446,
686,82.26919556,686,82.54178619,
685,82.25379944,685,82.51612854,
684,82.22275543,684,82.50242615,
683,82.20820618,683,82.49041748,
682,82.20989227,682,82.47598267,
681,82.19490051,681,82.46039581,
680,82.16965485,680,82.44432831,
679,82.15863037,679,82.42794037,
678,82.15273285,678,82.41477966,
677,82.12709045,677,82.39437103,
676,82.09698486,676,82.373909,
675,82.09816742,675,82.36425018,
674,82.08335114,674,82.34864044,
673,82.06608582,673,82.32886505,
672,82.05236053,672,82.32486725,
671,82.04907227,671,82.30055237,
670,82.02365875,670,82.27390289,
669,82.01437378,669,82.28508759,
668,81.99407959,668,82.26029205,
667,81.99343872,667,82.24360657,
666,81.98355103,666,82.2432251,
665,81.96221924,665,82.22628784,
664,81.95838165,664,82.21556854,
663,81.94235229,663,82.205513,
662,81.93577576,662,82.20455933,
661,81.92698669,661,82.19793701,
660,81.92072296,660,82.17948914,
659,81.90856934,659,82.17661285,
658,81.91439819,658,82.17670441,
657,81.90180206,657,82.17324829,
656,81.8978653,656,82.15276337,
655,81.88233185,655,82.1475296,
654,81.87094116,654,82.14589691,
653,81.86708832,653,82.13731384,
652,81.86418915,652,82.14112091,
651,81.84767151,651,82.12371826,
650,81.84697723,650,82.12809753,
649,81.83530426,649,82.10479736,
648,81.81063843,648,82.08720398,
647,81.79244995,647,82.07437134,
646,81.79227448,646,82.07204437,
645,81.76605988,645,82.04644012,
644,81.75140381,644,82.03178406,
643,81.72848511,643,82.00976563,
642,81.70656586,642,81.99087524,
641,81.68481445,641,81.96499634,
640,81.62789917,640,81.90900421,
639,81.61846924,639,81.90671539,
638,81.58135223,638,81.86509705,
637,81.52913666,637,81.80987549,
636,81.50682068,636,81.79927063,
635,81.47698975,635,81.76315308,
634,81.42791748,634,81.7142334,
633,81.37164307,633,81.65857697,
632,81.32717896,632,81.61897278,
631,81.27989197,631,81.56575012,
630,81.23332214,630,81.51746368,
629,81.18345642,629,81.47238159,
628,81.14874268,628,81.43135834,
627,81.10301208,627,81.39163971,
626,81.06807709,626,81.34928131,
625,81.01911163,625,81.31096649,
624,80.99123383,624,81.27037048,
623,80.98361969,623,81.25597382,
622,80.9336319,622,81.21365356,
621,80.90310669,621,81.1859436,
620,80.8813324,620,81.15996552,
619,80.81182098,619,81.09072113,
618,80.76107788,618,81.03688049,
617,80.73753357,617,81.00894928,
616,80.70762634,616,80.98674011,
615,80.66647339,615,80.94288635,
614,80.60839081,614,80.88497925,
613,80.57221222,613,80.83816528,
612,80.53282166,612,80.81022644,
611,80.48960876,611,80.76759338,
610,80.46282196,610,80.74295807,
609,80.43096161,609,80.7064209,
608,80.39146423,608,80.67225647,
607,80.35295868,607,80.63773346,
606,80.33271027,606,80.61813354,
605,80.27861786,605,80.56552124,
604,80.24238586,604,80.53197479,
603,80.21646881,603,80.50039673,
602,80.19181061,602,80.47544098,
601,80.16815186,601,80.45598602,
600,80.14128113,600,80.4257431,
599,80.12362671,599,80.40042877,
