Hole,,MnPS3,,CrPS4,,NiPS3,,FePS3,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1688,288.1724243,1688,224.851059,1688,221.708847,1688,350.5492249,1688,175.6899414,
1686,289.4282227,1686,225.6631317,1686,221.3444977,1686,351.6262207,1686,176.231308,
1684,290.2606812,1684,226.7167511,1684,219.9047089,1684,352.5627747,1684,177.4175415,
1682,290.8857117,1682,228.228302,1682,220.7062988,1682,353.1018982,1682,178.3271027,
1680,290.6580811,1680,229.6368866,1680,221.505188,1680,353.5291138,1680,178.6401978,
1678,291.41745,1678,230.2523651,1678,223.5121765,1678,353.9039307,1678,178.8251343,
1676,292.4238281,1676,230.3344421,1676,225.4543762,1676,354.7192383,1676,178.3501434,
1674,293.3880615,1674,229.8906555,1674,225.6854248,1674,355.261261,1674,178.3287811,
1672,294.5908203,1672,230.6868286,1672,225.2616577,1672,356.0790405,1672,178.6187439,
1670,295.0890503,1670,231.4387512,1670,223.609787,1670,356.778717,1670,179.5648804,
1668,295.3280945,1668,232.6966095,1668,224.0929871,1668,356.9880066,1668,180.4411621,
1666,295.0865173,1666,233.8476257,1666,224.9612274,1666,357.3814697,1666,180.4081268,
1664,295.6958008,1664,233.8621368,1664,226.6504211,1664,357.4986572,1664,180.4842682,
1662,296.1197815,1662,233.5310669,1662,228.8273621,1662,358.0950317,1662,180.0075836,
1660,296.9943848,1660,232.8534393,1660,229.0879669,1660,358.8259583,1660,179.7535706,
1658,298.4155884,1658,233.2266541,1658,228.7272644,1658,359.4013672,1658,180.0152283,
1656,298.6035156,1656,233.6841888,1656,226.7979889,1656,360.0487061,1656,180.7935333,
1654,299.008667,1654,234.9352417,1654,227.2268372,1654,360.4571228,1654,181.5955353,
1652,298.7165222,1652,236.3868408,1652,227.9786987,1652,360.8880615,1652,181.7929993,
1650,299.0259399,1650,236.4938202,1650,229.2538605,1650,360.671875,1650,181.87146,
1648,299.4853516,1648,236.6452637,1648,231.561203,1648,361.1947632,1648,181.2513275,
1646,300.1313171,1646,235.9633026,1646,231.7463226,1646,361.7402649,1646,180.9320526,
1644,301.335022,1644,236.2496185,1644,231.2635651,1644,362.4437561,1644,181.1979523,
1642,301.5379028,1642,236.8035278,1642,229.2690735,1642,362.9492798,1642,181.8004456,
1640,301.9927368,1640,237.6013336,1640,229.5600586,1640,363.2587585,1640,182.6047211,
1638,301.2998047,1638,238.5090332,1638,230.0884705,1638,363.3918457,1638,182.7657166,
