Baseline 100%T,,Hole,,FePS3,,NiPS3,,CrPS4,,MnPS5,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
857,1.261586308,857,101.5598297,857,-0.02455106936,857,47.32338333,857,10.14773273,857,74.5819397,
854,1.216307521,854,101.8483429,854,0.2083185762,854,47.56018829,854,10.29038143,854,74.81415558,
851,1.180078387,851,101.6027603,851,0.1846559048,851,47.87232971,851,10.3398962,851,74.67829895,
848,1.145847678,848,101.1951599,848,0.06905734539,848,47.83164978,848,10.40897846,848,74.98830414,
845,1.110579133,845,101.320015,845,-0.01621863618,845,47.89811707,845,10.37472916,845,75.07137299,
842,1.086145401,842,100.8974533,842,0.05145188048,842,47.90525055,842,10.21887302,842,74.79017639,
839,1.061407447,839,100.8562546,839,-0.2329797447,839,47.62531662,839,10.19040012,839,74.27033997,
836,1.034825921,836,101.3354416,836,0.1352772117,836,47.7065239,836,10.12187099,836,73.99723816,
833,1.009228587,833,101.9493561,833,0.07885426283,833,47.89378738,833,10.35502529,833,74.35235596,
830,0.9881695509,830,101.5584259,830,-0.09126241505,830,47.69122696,830,10.12101555,830,74.03219604,
827,0.9681885839,827,101.5812302,827,-0.02862093411,827,47.54542542,827,10.38444519,827,73.96274567,
824,0.9507978559,824,101.5490875,824,-0.01341837924,824,47.55840683,824,10.26684475,824,74.57649994,
821,0.940651238,821,100.756546,821,0.002199326409,821,47.24281311,821,10.2324276,821,73.64963531,
818,0.9254892468,818,101.1016235,818,-0.1366949677,818,47.66852188,818,10.03802681,818,73.35342407,
815,0.909452498,815,101.492569,815,0.02726624347,815,47.55464554,815,10.30665207,815,73.7922821,
812,0.8926557302,812,101.8589706,812,-0.1417380869,812,47.54376602,812,10.31253815,812,73.49620819,
809,0.8806169033,809,101.771286,809,-0.07023826987,809,47.73991013,809,10.129529,809,73.59602356,
806,0.8641090393,806,101.6928406,806,0.008897022344,806,47.66518021,806,10.24678612,806,73.87957764,
803,0.8521308303,803,101.0630493,803,0.07875741273,803,47.48287964,803,10.33268833,803,73.9571991,
800,0.8350004554,800,101.5029297,800,-0.005073504057,800,47.7949295,800,10.32249832,800,74.33478546,
798,1.400050282,798,102.2631531,798,0.6126183867,798,46.31620789,798,11.19853973,798,71.51387024,
796,1.420198083,796,102.7683258,796,0.5912442207,796,46.14906693,796,10.95246029,796,72.43644714,
794,1.386758685,794,102.5386429,794,0.6362839341,794,46.22707748,794,11.17592144,794,74.46072388,
792,1.422814727,792,102.1317444,792,0.5793759823,792,46.03710556,792,10.95397282,792,71.55693054,
790,1.399944782,790,103.3666229,790,0.5809272528,790,46.58031845,790,11.0845499,790,73.08073425,
788,1.392491579,788,102.3603592,788,0.5734118223,788,45.96858597,788,11.20744991,788,73.43973541,
786,1.423199415,786,102.2678146,786,0.572119534,786,46.2063179,786,10.76829624,786,73.63991547,
784,1.38888967,784,102.6708832,784,0.5790171623,784,46.43524551,784,11.23865223,784,72.28147125,
782,1.418091297,782,102.7808228,782,0.570065558,782,45.96540451,782,10.94205856,782,71.02232361,
780,1.391330123,780,102.6258087,780,0.5700201392,780,46.30285645,780,11.07597256,780,74.04509735,
778,1.419104457,778,101.9147873,778,0.5714914799,778,45.99076462,778,11.00795746,778,73.00208282,
776,1.397141099,776,103.2904358,776,0.573464036,776,46.59434509,776,11.07162762,776,73.35086823,
774,1.403925896,774,102.0428085,774,0.5771594644,774,45.77907181,774,11.14555073,774,71.21807098,
772,1.406354666,772,102.5610199,772,0.5613913536,772,46.23466492,772,10.96679688,772,73.26580048,
770,1.40870142,770,102.1311874,770,0.5573589206,770,45.95510483,770,11.17939472,770,72.47907257,
768,1.398498178,768,103.7005692,768,0.5606816411,768,46.32170486,768,11.04050159,768,72.50551605,
766,1.400261521,766,102.0302505,766,0.5583482385,766,45.78475189,766,11.19891357,766,71.73326874,
764,1.407086134,764,102.8547058,764,0.5579838753,764,46.44618225,764,10.88459778,764,73.98226929,
762,1.40231812,762,102.5727234,762,0.5570045114,762,46.15699768,762,11.17760849,762,72.16542053,
760,1.396717548,760,103.0415649,760,0.5893270969,760,46.19164276,760,11.04740143,760,72.46875,
758,1.410527229,758,101.2490768,758,0.5426769853,758,45.63137054,758,11.08078671,758,70.37095642,
756,1.398727298,756,102.9364471,756,0.5653816462,756,46.40023804,756,11.08994007,756,73.44677734,
754,1.408139825,754,102.8940201,754,0.5758478642,754,45.80579758,754,11.12055111,754,72.20800781,
752,1.38459146,752,102.5442963,752,0.5676918626,752,46.08776474,752,11.20052719,752,72.18479156,
750,1.419423103,750,102.3213348,750,0.529599905,750,45.78338242,750,10.83496094,750,71.03176117,
748,1.386538386,748,102.7830811,748,0.5789341331,748,46.20983505,748,11.32863522,748,72.33695221,
746,1.400209904,746,103.1891785,746,0.5289961696,746,45.90364838,746,10.95573425,746,72.14723969,
744,1.401823163,744,101.5604019,744,0.5422254801,744,45.47988892,744,11.1572485,744,69.95082855,
742,1.393369675,742,102.8017044,742,0.5730704665,742,46.25368881,742,11.0920105,742,72.26918793,
740,1.405308127,740,103.0283585,740,0.5332790017,740,45.74587631,740,11.08235836,740,71.6390152,
738,1.380796313,738,102.3349991,738,0.5447419286,738,45.95796204,738,11.28315544,738,70.93490601,
736,1.407932162,736,102.4433517,736,0.5349358916,736,45.90297699,736,10.84830284,736,70.60314178,
734,1.400870562,734,102.4196854,734,0.5381355286,734,45.71773529,734,11.19018745,734,70.60810852,
732,1.377296686,732,102.999794,732,0.554027617,732,46.10351181,732,11.29587364,732,71.87754822,
730,1.40342474,730,102.2855988,730,0.5349089503,730,45.54704666,730,10.87201118,730,70.76725006,
728,1.399545789,728,102.3998718,728,0.5212611556,728,45.70454025,728,11.15316868,728,69.90995789,
726,1.375843167,726,103.4614944,726,0.5365962982,726,46.33560181,726,11.32625008,726,71.70092773,
724,1.391980052,724,102.835907,724,0.5225772262,724,45.65685654,724,10.95016289,724,70.40129852,
722,1.397953391,722,101.9546738,722,0.5310249925,722,45.71967697,722,11.09463501,722,69.51202393,
720,1.383039594,720,102.5307083,720,0.5277733207,720,46.04415512,720,11.30177975,720,70.92442322,
718,1.384063601,718,103.1401291,718,0.5124653578,718,45.67417908,718,11.04790115,718,70.39727783,
716,1.396478176,716,101.9567642,716,0.5049564838,716,45.04710007,716,10.98470306,716,69.00788879,
714,1.387017369,714,102.2577896,714,0.4912571013,714,45.63400269,714,11.24648762,714,69.42955017,
712,1.376981974,712,103.326416,712,0.3428479135,712,45.88353348,712,11.15168285,712,69.8228302,
710,1.384296894,710,102.7921219,710,0.3003383875,710,45.33361816,710,10.92760944,710,69.32071686,
708,1.392119288,708,101.9373779,708,0.2910890281,708,45.37656021,708,10.82392216,708,69.2743454,
706,1.380332112,706,102.5637741,706,0.3021869063,706,45.7909317,706,11.00152779,706,67.91628265,
704,1.365745187,704,103.2047729,704,0.3205478191,704,45.76656342,704,11.05291367,704,68.36610413,
702,1.374878287,702,102.6083984,702,0.3005827069,702,45.56746292,702,10.82166767,702,68.92458344,
700,1.385045528,700,102.3849487,700,0.3087078333,700,45.58718872,700,10.78085423,700,68.04734802,
698,1.37407887,698,102.9892426,698,0.2863845229,698,45.81114578,698,10.98253918,698,66.78005219,
696,1.365506649,696,102.5065536,696,0.2986323237,696,45.66957474,696,11.02609062,696,67.82675934,
694,1.371145129,694,102.0534744,694,0.3231506944,694,45.75262833,694,10.8975668,694,67.87632751,
692,1.370953083,692,102.7807846,692,0.2934679389,692,45.86888123,692,10.87633038,692,66.4376297,
