Hole,,MnPS3,,FePS3,,NiPS3,,CrPS4,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
1613,160.0216217,1613,82.64945221,1613,115.9971008,1613,151.5417175,1613,84.35456085,
1612,160.0951538,1612,82.61079407,1612,115.8950653,1612,151.7254639,1612,84.42594147,
1611,160.1287994,1611,82.6904068,1611,116.0307159,1611,151.4936981,1611,84.38272095,
1610,160.1104889,1610,82.79611969,1610,115.9035797,1610,151.6323853,1610,84.34703064,
1609,160.1976013,1609,82.79253387,1609,116.0858154,1609,151.4689178,1609,84.37612152,
1608,160.0750732,1608,82.92832184,1608,115.9548187,1608,151.4827271,1608,84.31316376,
1607,160.3300476,1607,82.9274292,1607,116.1171875,1607,151.6093445,1607,84.43958282,
1606,160.2377625,1606,83.13499451,1606,116.0431366,1606,151.3272552,1606,84.30630493,
1605,160.3768921,1605,83.04592896,1605,116.0748138,1605,151.5853271,1605,84.37243652,
1604,160.3648224,1604,83.21173096,1604,116.0996933,1604,151.3577881,1604,84.29024506,
1603,160.421402,1603,83.11424255,1603,116.0932541,1603,151.4462585,1603,84.36289215,
1602,160.4895935,1602,83.28147125,1602,116.2260284,1602,151.3630219,1602,84.30417633,
1601,160.5117188,1601,83.3022995,1601,116.0566788,1601,151.421875,1601,84.28947449,
1600,160.6768799,1600,83.32032776,1600,116.2786026,1600,151.2353821,1600,84.2971344,
1599,160.5337982,1599,83.63180542,1599,116.1484222,1599,151.331665,1599,84.22509766,
1598,160.7309113,1598,83.45536804,1598,116.2917252,1598,151.283783,1598,84.30767059,
1597,160.5893097,1597,83.78725433,1597,116.1995087,1597,151.163559,1597,84.2015152,
1596,160.7716827,1596,83.75318909,1596,116.3565674,1596,151.3741302,1596,84.30828857,
1595,160.705719,1595,83.8216629,1595,116.3091202,1595,151.013916,1595,84.17427063,
1594,160.7660065,1594,83.80010986,1594,116.2743073,1594,151.2445068,1594,84.26515198,
1593,160.8034515,1593,84.00457764,1593,116.4427872,1593,151.0202942,1593,84.18836975,
1592,160.7386169,1592,83.95220947,1592,116.2963257,1592,151.0960693,1592,84.18768311,
1591,160.8229218,1591,83.9701767,1591,116.4747849,1591,150.9359131,1591,84.18482208,
1590,160.7854156,1590,84.15075684,1590,116.3350449,1590,151.0578918,1590,84.15753174,
1589,160.9385529,1589,84.01651001,1589,116.5415878,1589,150.8720856,1589,84.1953125,
1588,160.8270111,1588,84.22486877,1588,116.3648758,1588,150.8367157,1588,84.08133698,
1587,160.9856415,1587,84.18437958,1587,116.5263901,1587,150.965744,1587,84.15924835,
1586,160.8861389,1586,84.31062317,1586,116.5204849,1586,150.6447296,1586,84.0677948,
1585,160.943634,1585,84.27935791,1585,116.4849167,1585,150.9693604,1585,84.15926361,
1584,160.9694214,1584,84.38288879,1584,116.6064301,1584,150.6624146,1584,84.0535202,
1583,160.9747009,1583,84.36975098,1583,116.4729691,1583,150.7779541,1583,84.10121918,
1582,161.0327759,1582,84.42533112,1582,116.6862869,1582,150.6558533,1582,84.06372833,
1581,160.9290771,1581,84.51143646,1581,116.4849014,1581,150.6431732,1581,84.03232574,
1580,161.0878754,1580,84.44216156,1580,116.6629105,1580,150.5497894,1580,84.06002045,
