0 6.92307692 13.8461538 20.7692308 27.6923077
538 1523 1523 1523 1523 1523
538 1517 1517 1517 1517 1517
538 1528 1528 1528 1528 1528
538 1565 1565 1565 1565 1565
538 1529 1529 1529 1529 1529
538 1539 1539 1539 1539 1539
538 1542 1542 1542 1542 1542
538 1540 1540 1540 1540 1540
538 1551 1551 1551 1551 1551
538 1552 1552 1552 1552 1552
538 1546 1546 1546 1546 1546
538 1533 1533 1533 1533 1533
538 1554 1554 1554 1554 1554
538 1545 1545 1545 1545 1545
538 1561 1561 1561 1561 1561
538 1555 1555 1555 1555 1555
538 1538 1538 1538 1538 1538
538 1532 1532 1532 1532 1532
538 1525 1525 1525 1525 1525
538 1497 1497 1497 1497 1497
538 1511 1511 1511 1511 1511
538 1507 1507 1507 1507 1507
538 1523 1523 1523 1523 1523
538 1506 1506 1506 1506 1506
538 1517 1517 1517 1517 1517
538 1510 1510 1510 1510 1510
538 1492 1492 1492 1492 1492
538 1499 1499 1499 1499 1499
538 1518 1518 1518 1518 1518
538 1492 1492 1492 1492 1492
538 1501 1501 1501 1501 1501
538 1496 1496 1496 1496 1496
538 1494 1494 1494 1494 1494
538 1487 1487 1487 1487 1487
538 1499 1499 1499 1499 1499
538 1500 1500 1500 1500 1500
538 1496 1496 1496 1496 1496
538 1494 1494 1494 1494 1494
538 1501 1501 1501 1501 1501
538 1500 1500 1500 1500 1500
538 1502 1502 1502 1502 1502
538 1502 1502 1502 1502 1502
538 1498 1498 1498 1498 1498
538 1483 1483 1483 1483 1483
538 1506 1506 1506 1506 1506
538 1515 1515 1515 1515 1515
538 1498 1498 1498 1498 1498
538 1510 1510 1510 1510 1510
539 1481 1481 1481 1481 1481
539 1476 1476 1476 1476 1476
539 1482 1482 1482 1482 1482
539 1483 1483 1483 1483 1483
539 1505 1505 1505 1505 1505
539 1510 1510 1510 1510 1510
539 1502 1502 1502 1502 1502
539 1494 1494 1494 1494 1494
539 1493 1493 1493 1493 1493
539 1488 1488 1488 1488 1488
539 1498 1498 1498 1498 1498
539 1494 1494 1494 1494 1494
539 1488 1488 1488 1488 1488
539 1507 1507 1507 1507 1507
539 1497 1497 1497 1497 1497
539 1485 1485 1485 1485 1485
539 1479 1479 1479 1479 1479
539 1498 1498 1498 1498 1498
539 1477 1477 1477 1477 1477
539 1476 1476 1476 1476 1476
539 1482 1482 1482 1482 1482
539 1483 1483 1483 1483 1483
539 1478 1478 1478 1478 1478
539 1480 1480 1480 1480 1480
539 1490 1490 1490 1490 1490
539 1472 1472 1472 1472 1472
539 1474 1474 1474 1474 1474
539 1489 1489 1489 1489 1489
539 1487 1487 1487 1487 1487
539 1474 1474 1474 1474 1474
539 1506 1506 1506 1506 1506
539 1482 1482 1482 1482 1482
539 1493 1493 1493 1493 1493
539 1482 1482 1482 1482 1482
539 1477 1477 1477 1477 1477
539 1486 1486 1486 1486 1486
539 1473 1473 1473 1473 1473
539 1489 1489 1489 1489 1489
539 1489 1489 1489 1489 1489
539 1493 1493 1493 1493 1493
539 1491 1491 1491 1491 1491
539 1510 1510 1510 1510 1510
539 1483 1483 1483 1483 1483
539 1493 1493 1493 1493 1493
539 1491 1491 1491 1491 1491
539 1499 1499 1499 1499 1499
539 1495 1495 1495 1495 1495
539 1487 1487 1487 1487 1487
539 1509 1509 1509 1509 1509
539 1501 1501 1501 1501 1501
539 1523 1523 1523 1523 1523
539 1526 1526 1526 1526 1526
539 1519 1519 1519 1519 1519
539 1539 1539 1539 1539 1539
539 1505 1505 1505 1505 1505
539 1516 1516 1516 1516 1516
539 1501 1501 1501 1501 1501
539 1503 1503 1503 1503 1503
539 1506 1506 1506 1506 1506
539 1478 1478 1478 1478 1478
539 1493 1493 1493 1493 1493
539 1495 1495 1495 1495 1495
539 1486 1486 1486 1486 1486
539 1493 1493 1493 1493 1493
539 1493 1493 1493 1493 1493
539 1492 1492 1492 1492 1492
539 1481 1481 1481 1481 1481
539 1496 1496 1496 1496 1496
539 1486 1486 1486 1486 1486
539 1524 1524 1524 1524 1524
539 1487 1487 1487 1487 1487
539 1493 1493 1493 1493 1493
539 1491 1491 1491 1491 1491
539 1491 1491 1491 1491 1491
539 1494 1494 1494 1494 1494
540 1495 1495 1495 1495 1495
540 1481 1481 1481 1481 1481
540 1500 1500 1500 1500 1500
540 1499 1499 1499 1499 1499
540 1500 1500 1500 1500 1500
